Area,0_4,5_7,8_9,10_14,15,16_17,18_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85+
Kirklees,"28,331","15,976","10,051","26,177","5,614","10,669","11,264","28,826","27,475","26,954","28,285","31,654","30,260","26,926","24,001","25,845","19,323","15,712","12,091","9,001","8,023"
Leeds,"47,844","25,177","15,404","40,167","8,901","17,178","26,756","71,874","59,860","53,456","50,021","52,285","50,442","44,050","38,294","40,178","30,220","26,235","22,229","16,332","14,582"
Wakefield,"19,545","10,931","6,712","18,774","4,078","8,374","7,567","19,566","20,773","18,597","21,324","25,390","25,157","22,633","20,053","21,221","16,902","13,440","10,611","7,527","6,662"
Derby,"17,743","9,329","5,654","14,857","3,093","6,250","7,385","20,069","18,211","16,563","16,723","18,012","17,620","14,612","12,376","12,586","10,169","8,715","7,568","5,972","5,245"
Leicester,"24,297","12,925","7,855","20,162","4,040","8,608","11,842","35,406","29,571","25,272","21,955","20,940","20,240","18,953","16,501","14,056","9,977","8,911","7,321","5,615","5,392"
Nottingham,"19,959","10,194","6,235","15,860","3,328","6,818","16,913","42,766","26,232","22,433","19,441","19,645","18,502","15,772","13,404","12,626","9,313","8,207","7,181","5,696","5,155"
Rutland,"1,854","1,129",721,"2,352",630,"1,434",831,"1,740","1,907","1,855","2,145","2,686","2,642","2,517","2,362","2,715","2,331","1,887","1,436","1,094","1,101"
Amber Valley,"6,404","3,771","2,616","7,202","1,475","3,162","2,668","6,233","6,439","6,549","8,080","9,660","9,622","8,512","7,958","9,179","7,219","5,277","4,158","3,074","3,051"
Bolsover,"4,275","2,492","1,511","4,379","1,017","1,956","1,765","4,267","4,564","4,129","4,909","6,126","5,876","5,173","4,611","5,032","4,354","3,183","2,601","1,904","1,742"
Chesterfield,"5,778","3,132","1,939","6,041","1,303","2,747","2,427","5,784","6,071","5,919","6,765","7,862","8,113","7,207","6,453","6,956","5,652","4,453","3,565","2,843","2,778"
Derbyshire Dales,"3,077","2,169","1,475","4,208",888,"1,733","1,411","3,008","2,719","2,822","3,914","5,291","5,957","5,357","5,185","6,075","4,826","3,680","2,969","2,165","2,187"
Erewash,"6,527","3,637","2,298","6,188","1,483","2,945","2,600","6,714","6,407","6,480","7,395","9,001","9,057","7,498","6,644","7,211","5,954","4,703","3,947","2,757","2,635"
High Peak,"4,961","2,986","1,905","5,487","1,137","2,339","2,279","5,059","4,643","4,635","5,627","7,329","7,668","6,758","5,979","6,431","4,945","3,697","2,905","2,154","1,968"
North East Derbyshire,"4,799","2,977","1,932","5,370","1,246","2,471","2,239","5,020","4,764","4,730","5,907","7,425","7,628","7,230","6,712","7,655","6,567","5,112","3,893","2,814","2,532"
South Derbyshire,"5,724","3,464","2,145","6,082","1,286","2,527","2,061","4,873","5,400","5,972","6,692","7,842","7,559","6,242","5,884","6,231","4,738","3,429","2,710","2,016","1,734"
Blaby,"5,446","3,263","2,061","5,590","1,221","2,462","2,189","4,990","5,005","5,134","6,368","7,451","7,365","6,492","5,646","6,357","5,026","4,073","3,260","2,397","2,119"
Charnwood,"9,120","5,053","3,226","8,924","1,899","4,209","6,778","16,121","10,079","9,261","10,126","11,758","11,794","10,507","9,650","10,333","8,064","6,287","5,219","4,036","3,656"
Harborough,"4,665","3,028","1,987","5,527","1,141","2,301","1,714","3,701","3,700","4,143","5,565","7,119","7,310","6,179","5,650","6,061","4,829","3,641","2,872","2,147","2,102"
Hinckley and Bosworth,"5,778","3,377","2,142","6,014","1,292","2,575","2,117","5,376","5,767","5,922","6,818","8,085","8,290","7,316","6,966","7,910","6,027","4,547","3,543","2,773","2,443"
Melton,"2,786","1,618","1,067","3,033",635,"1,275","1,074","2,535","2,537","2,592","2,996","4,032","4,272","3,648","3,357","3,662","2,826","2,149","1,731","1,288","1,263"
North West Leicestershire,"5,477","3,319","2,102","5,642","1,137","2,311","1,963","4,739","4,939","5,124","6,488","7,569","7,529","6,358","5,940","6,599","5,201","3,796","2,934","2,209","2,092"
Oadby and Wigston,"2,882","1,711","1,092","3,370",756,"1,570","2,680","3,463","3,023","2,964","3,159","3,907","4,310","3,746","3,218","3,432","2,803","2,522","2,293","1,734","1,535"
Boston,"3,841","1,980","1,243","3,527",771,"1,493","1,421","3,942","4,372","3,850","3,892","4,347","4,539","4,208","4,074","4,395","3,735","3,038","2,422","1,922","1,625"
East Lindsey,"6,202","3,637","2,362","7,168","1,614","3,170","2,756","6,433","5,876","5,496","6,672","8,605","9,644","9,447","9,570","12,310","11,212","8,737","6,683","4,753","4,054"
Lincoln,"5,514","2,710","1,593","4,548",986,"2,057","4,663","11,198","7,915","6,363","5,582","5,901","6,181","5,384","4,746","4,874","3,709","3,004","2,472","2,075","2,066"
North Kesteven,"5,483","3,364","2,220","6,591","1,408","2,684","2,207","5,068","5,341","5,346","6,610","8,486","8,692","7,343","6,540","7,891","6,849","5,559","4,213","3,090","2,781"
South Holland,"4,488","2,555","1,740","4,982","1,151","2,080","1,697","4,523","4,705","4,668","5,303","6,150","6,595","5,843","5,548","6,579","5,462","4,767","3,933","2,920","2,581"
South Kesteven,"7,432","4,279","2,895","8,262","1,835","3,509","2,779","6,251","6,809","7,069","8,374","10,200","10,600","9,616","8,654","9,664","7,889","5,905","4,640","3,583","3,543"
West Lindsey,"4,391","2,697","1,811","5,392","1,206","2,415","2,022","4,141","3,915","4,032","4,943","6,601","7,193","6,576","6,218","7,068","5,963","4,444","3,524","2,537","2,161"
Corby,"4,519","2,225","1,385","3,748",741,"1,578","1,487","3,924","4,786","4,231","4,075","4,597","4,839","4,079","3,528","3,201","2,619","2,105","1,622","1,110",856
Daventry,"4,350","2,688","1,834","4,889","1,051","2,120","1,692","3,797","3,588","3,870","5,126","6,481","6,590","5,737","5,138","5,715","4,394","3,131","2,338","1,724","1,590"
East Northamptonshire,"5,233","3,197","1,941","5,589","1,229","2,512","1,929","4,028","4,250","4,753","5,985","7,163","6,864","5,858","5,385","6,244","4,614","3,421","2,626","1,963","1,981"
Kettering,"6,256","3,504","2,181","5,564","1,161","2,303","2,029","4,993","5,797","5,940","6,748","7,432","7,041","5,870","5,448","6,214","4,687","3,418","2,700","2,069","2,120"
