Area,0_4,5_7,8_9,10_14,15,16_17,18_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85+
Poole,"8,450","4,687","2,896","7,924","1,702","3,557","3,361","8,180","8,712","8,835","9,331","10,689","11,078","9,486","8,771","9,828","8,011","6,552","5,808","4,868","4,919"
South Gloucestershire,"15,925","8,967","5,641","15,858","3,539","6,958","7,102","15,458","15,606","15,863","17,402","20,709","21,310","17,270","15,002","15,748","13,465","10,575","8,749","6,086","5,534"
Swindon,"14,083","7,551","4,722","12,433","2,593","5,141","4,690","12,859","15,075","15,172","16,297","16,869","16,371","13,822","11,634","10,990","8,453","6,707","5,633","4,266","3,795"
Torbay,"6,690","3,851","2,426","7,092","1,610","3,120","2,839","6,779","6,700","6,140","7,060","8,855","9,547","8,809","8,418","10,169","8,594","6,970","5,804","4,415","5,071"
Wiltshire,"28,373","16,588","10,611","29,276","6,120","12,432","10,645","24,720","25,471","25,078","30,389","36,130","36,817","32,734","28,863","31,246","25,135","19,935","16,189","12,267","11,962"
East Devon,"5,846","3,640","2,374","7,074","1,521","3,121","2,678","5,517","5,201","5,250","6,635","8,668","9,191","8,684","8,804","10,907","9,857","8,269","6,954","5,923","6,343"
Exeter,"6,747","3,453","2,082","5,329","1,096","2,343","5,957","14,155","9,027","8,066","7,333","7,603","7,593","6,683","5,890","6,147","4,750","3,997","3,427","3,009","3,086"
Mid Devon,"4,498","2,592","1,651","4,713","1,096","1,941","1,619","3,675","3,888","3,710","4,487","5,651","5,954","5,436","5,143","5,831","4,797","3,715","2,880","2,283","2,190"
North Devon,"5,014","2,930","1,871","5,286","1,188","2,317","2,070","4,821","4,565","4,641","5,122","6,429","6,886","6,429","6,051","7,239","6,155","4,782","3,867","2,989","3,015"
South Hams,"3,677","2,333","1,624","4,602","1,036","1,979","1,677","3,648","3,424","3,245","3,997","5,535","6,553","6,346","6,231","7,479","6,034","4,469","3,688","2,774","2,789"
Teignbridge,"5,984","3,670","2,371","6,966","1,491","3,028","2,638","5,694","5,432","5,617","6,646","8,694","9,713","8,671","8,609","9,980","8,397","6,352","5,357","4,302","4,608"
Torridge,"3,157","1,814","1,277","3,493",777,"1,559","1,295","3,025","2,634","2,891","3,318","4,294","4,681","4,508","4,579","5,559","4,687","3,480","2,819","2,032","1,960"
West Devon,"2,556","1,590","1,060","3,055",640,"1,298","1,043","2,394","2,244","2,356","2,788","3,594","4,311","3,932","3,815","4,487","3,835","2,844","2,238","1,704","1,769"
Christchurch,"2,143","1,360",854,"2,562",544,"1,071",897,"2,063","1,882","2,016","2,392","3,066","3,284","2,935","2,775","3,721","3,514","3,029","2,802","2,348","2,494"
East Dorset,"3,737","2,457","1,635","4,702","1,078","1,983","1,740","3,632","3,013","3,201","4,249","5,705","6,481","6,083","5,796","7,355","6,300","5,509","4,811","3,866","3,833"
North Dorset,"3,647","2,171","1,400","4,204",931,"2,043","1,535","3,402","3,197","3,387","4,037","4,685","4,993","4,627","4,379","5,146","4,238","3,471","2,745","2,195","2,150"
Purbeck,"2,114","1,315",899,"2,428",539,"1,110",885,"2,165","1,998","1,991","2,370","3,024","3,285","3,197","2,983","3,723","3,231","2,417","2,146","1,621","1,532"
West Dorset,"4,343","2,633","1,882","5,579","1,291","2,626","1,954","4,300","3,607","3,876","4,932","6,400","7,371","6,898","6,951","8,343","7,328","5,773","5,069","3,958","4,150"
Weymouth and Portland,"3,349","1,928","1,309","3,548",727,"1,560","1,608","3,888","3,394","3,363","3,669","4,561","4,848","4,589","4,295","4,916","4,056","3,124","2,541","1,990","1,904"
Cheltenham,"6,486","3,483","2,206","6,201","1,348","2,874","3,334","9,185","9,324","8,296","7,715","8,022","8,230","7,051","6,263","6,385","5,090","4,321","3,628","2,964","3,326"
Cotswold,"3,929","2,459","1,667","4,746",942,"2,001","1,858","3,837","3,416","3,502","4,926","6,201","6,564","6,182","5,783","6,379","5,280","4,146","3,492","2,789","2,782"
Forest of Dean,"4,055","2,480","1,639","4,779","1,061","2,409","2,048","4,200","3,601","3,530","4,687","6,120","6,353","5,932","5,700","6,381","5,290","4,090","3,138","2,236","2,232"
Gloucester,"8,239","4,324","2,789","7,274","1,531","3,199","3,173","8,402","8,720","8,181","8,200","9,232","9,188","7,997","6,589","6,585","5,324","4,152","3,360","2,732","2,497"
Stroud,"6,113","3,657","2,509","6,791","1,458","3,055","2,372","5,246","4,910","5,438","7,194","8,815","8,978","8,303","7,671","8,292","6,574","5,107","4,122","3,110","3,064"
Tewkesbury,"4,616","2,656","1,671","4,688",954,"1,936","1,578","4,088","4,023","4,437","5,263","6,280","6,522","5,754","5,251","5,717","4,835","4,001","3,083","2,322","2,268"
Mendip,"5,915","3,617","2,296","6,988","1,581","3,450","2,559","5,359","5,114","5,100","6,284","8,167","8,625","7,763","7,227","7,956","6,210","4,839","4,001","3,063","3,165"
Sedgemoor,"6,321","3,613","2,348","6,868","1,516","3,055","2,538","6,193","5,671","5,473","6,301","8,249","8,859","8,051","7,585","8,482","6,932","5,514","4,366","3,387","3,266"
South Somerset,"8,771","5,073","3,316","9,424","2,034","4,005","3,549","8,513","8,127","7,860","9,242","11,202","11,747","10,808","10,495","12,252","10,083","7,907","6,490","5,260","5,085"
Taunton Deane,"6,266","3,572","2,271","6,389","1,580","3,117","2,525","6,226","6,047","5,877","6,628","7,739","8,077","7,442","6,915","7,504","6,048","4,776","4,152","3,495","3,541"
West Somerset,"1,444",833,548,"1,640",366,741,692,"1,744","1,549","1,272","1,376","1,968","2,342","2,413","2,554","3,113","2,852","2,302","1,901","1,473","1,552"
Anglesey,"3,878","2,082","1,382","3,746",773,"1,680","1,398","3,863","3,603","3,563","3,846","4,641","4,750","4,817","4,622","5,461","4,759","3,815","2,847","2,199","2,026"
Gwynedd,"6,819","3,748","2,430","6,610","1,344","2,784","4,220","9,719","6,472","6,060","6,736","7,918","8,154","7,864","7,323","8,533","7,391","5,739","4,802","3,763","3,445"
Conwy,"5,839","3,351","2,155","6,418","1,363","2,849","2,390","5,798","5,404","5,350","6,036","7,693","8,304","7,939","7,333","8,844","7,604","6,362","5,558","4,363","4,275"
Denbighshire,"5,323","2,986","1,975","5,473","1,196","2,543","2,270","5,212","4,525","4,496","5,353","6,420","6,925","6,223","5,965","7,159","5,791","4,794","3,709","2,813","2,583"
Flintshire,"9,349","5,098","3,275","8,997","1,925","4,073","3,499","8,970","8,547","8,377","9,724","11,475","11,715","10,113","9,504","11,029","8,455","6,844","4,929","3,455","3,153"
Wrexham,"8,829","4,785","2,832","7,736","1,636","3,219","3,188","8,439","8,825","8,212","8,813","9,971","9,725","8,640","8,285","8,858","7,126","5,390","4,256","3,202","2,877"
Powys,"6,582","3,959","2,681","7,947","1,724","3,463","2,780","6,465","5,877","5,843","6,975","9,000","9,971","9,221","9,378","10,864","9,087","7,145","5,715","4,211","4,088"
Ceredigion,"3,472","2,015","1,331","3,642",770,"1,607","4,255","8,191","3,614","3,304","3,654","4,325","4,738","4,841","4,884","5,574","4,724","3,694","2,957","2,194","2,136"
Pembrokeshire,"6,784","3,889","2,469","7,383","1,552","3,131","2,798","6,710","5,860","5,770","6,379","8,046","9,065","8,197","8,188","9,525","7,910","6,470","5,174","3,673","3,466"
Carmarthenshire,"10,310","5,835","3,862","10,642","2,365","4,628","4,352","10,598","9,531","9,330","10,234","12,228","13,568","12,528","12,242","13,348","11,419","8,924","7,273","5,378","5,182"
Swansea,"13,110","7,491","4,948","13,214","2,633","5,412","8,004","20,520","15,559","14,389","14,713","15,929","16,301","15,156","13,856","14,976","12,048","10,108","8,636","6,265","5,755"
Neath Port Talbot,"7,599","4,500","2,816","8,020","1,702","3,599","3,219","8,112","8,702","8,311","8,540","9,759","10,380","9,758","9,261","9,483","7,641","6,221","4,901","3,836","3,452"
Bridgend,"7,727","4,620","2,959","8,369","1,613","3,558","3,226","8,234","8,439","8,332","9,136","10,456","10,633","9,366","8,521","9,135","7,518","6,251","4,761","3,284","3,040"
The Vale of Glamorgan,"7,333","4,229","2,689","7,902","1,679","3,481","2,992","6,825","6,969","7,237","7,958","8,943","9,463","8,883","8,211","8,487","6,824","5,543","4,260","3,275","3,153"
Cardiff,"22,378","11,163","6,917","18,538","3,979","7,836","14,055","38,735","30,515","25,290","22,195","22,461","22,410","20,231","17,337","16,498","12,204","10,501","9,043","6,906","6,898"
"Rhondda, Cynon, Taff","14,449","8,134","5,006","13,885","2,820","5,837","6,225","16,178","14,818","14,131","14,623","16,884","16,796","15,244","13,854","15,453","12,186","9,818","7,706","5,304","5,059"
Merthyr Tydfil,"3,630","1,881","1,238","3,476",735,"1,616","1,473","3,959","4,170","3,417","3,409","4,281","4,363","4,068","3,510","3,780","2,895","2,436","1,931","1,350","1,184"
Caerphilly,"11,313","6,289","4,141","10,991","2,247","4,710","4,361","10,820","11,222","10,989","11,408","13,256","13,057","11,790","10,832","11,815","9,276","7,414","5,706","3,761","3,408"
Blaenau Gwent,"4,016","2,223","1,334","4,053",867,"1,946","1,832","4,636","4,284","3,996","4,195","5,378","5,228","4,636","4,094","4,619","3,913","3,052","2,422","1,593","1,497"
Torfaen,"5,381","3,105","1,928","5,620","1,208","2,630","2,240","5,588","5,574","5,069","5,183","6,457","6,854","6,189","5,639","6,040","4,837","3,807","3,221","2,347","2,158"
Monmouthshire,"4,637","2,852","1,919","5,684","1,151","2,628","1,950","4,311","3,812","4,067","5,075","6,836","7,641","6,539","6,281","6,897","5,630","4,440","3,718","2,678","2,577"
Newport,"9,543","5,194","3,363","9,402","1,886","3,881","4,114","10,041","9,406","9,161","8,860","10,798","10,670","9,356","7,803","8,507","6,769","5,775","4,677","3,382","3,148"
,,,,,,,,,,,,,,,,,,,,,
"In order to protect against disclosure of personal information, records have been swapped between different geographic areas. Some counts will be affected, particularly small counts at the lowest geographies.",,,,,,,,,,,,,,,,,,,,,
