Area,All,Not_working,Families_working,Families_notworking_pct,Families_fulltime,Families_parttime,Families_fulltime_pct
E01001954 : Hammersmith and Fulham 003A,65.0,34.0,31.0,47.69230769230769,10.0,55.0,84.61538461538461
E01001956 : Hammersmith and Fulham 003B,66.0,34.0,32.0,48.484848484848484,16.0,50.0,75.75757575757575
E01001856 : Hammersmith and Fulham 010C,66.0,26.0,40.0,60.60606060606061,21.0,45.0,68.18181818181819
E01001931 : Hammersmith and Fulham 011B,66.0,41.0,25.0,37.878787878787875,5.0,61.0,92.42424242424242
E01032788 : Hammersmith and Fulham 023D,67.0,23.0,44.0,65.67164179104478,22.0,45.0,67.16417910447761
E01001940 : Hammersmith and Fulham 005B,68.0,34.0,34.0,50.0,16.0,52.0,76.47058823529412
E01001900 : Hammersmith and Fulham 013E,68.0,31.0,37.0,54.411764705882355,18.0,50.0,73.52941176470588
E01001857 : Hammersmith and Fulham 007D,69.0,33.0,36.0,52.17391304347826,11.0,58.0,84.05797101449275
E01001886 : Hammersmith and Fulham 016A,69.0,39.0,30.0,43.47826086956522,12.0,57.0,82.6086956521739
E01001892 : Hammersmith and Fulham 016D,70.0,37.0,33.0,47.142857142857146,14.0,56.0,80.0
E01001862 : Hammersmith and Fulham 005A,71.0,35.0,36.0,50.70422535211268,22.0,49.0,69.01408450704226
E01001959 : Hammersmith and Fulham 003C,72.0,44.0,28.0,38.888888888888886,12.0,60.0,83.33333333333333
E01001899 : Hammersmith and Fulham 013D,74.0,42.0,32.0,43.24324324324324,14.0,60.0,81.08108108108108
E01001893 : Hammersmith and Fulham 013A,75.0,39.0,36.0,48.0,14.0,61.0,81.33333333333333
E01001938 : Hammersmith and Fulham 025D,78.0,46.0,32.0,41.02564102564103,13.0,65.0,83.33333333333333
E01001874 : Hammersmith and Fulham 001A,81.0,40.0,41.0,50.617283950617285,22.0,59.0,72.8395061728395
E01001860 : Hammersmith and Fulham 006B,82.0,44.0,38.0,46.34146341463415,14.0,68.0,82.92682926829268
E01001868 : Hammersmith and Fulham 012C,82.0,34.0,48.0,58.53658536585366,18.0,64.0,78.04878048780488
E01001912 : Hammersmith and Fulham 015E,85.0,45.0,40.0,47.05882352941177,17.0,68.0,80.0
E01001934 : Hammersmith and Fulham 025B,88.0,39.0,49.0,55.68181818181818,17.0,71.0,80.68181818181819
E01001885 : Hammersmith and Fulham 015A,89.0,43.0,46.0,51.68539325842696,23.0,66.0,74.15730337078652
E01001944 : Hammersmith and Fulham 004B,100.0,56.0,44.0,44.0,21.0,79.0,79.0
E01001939 : Hammersmith and Fulham 023C,101.0,47.0,54.0,53.46534653465346,26.0,75.0,74.25742574257426
E01001876 : Hammersmith and Fulham 001C,102.0,63.0,39.0,38.23529411764706,21.0,81.0,79.41176470588235
E01001961 : Hammersmith and Fulham 002D,105.0,57.0,48.0,45.714285714285715,18.0,87.0,82.85714285714286
E01001875 : Hammersmith and Fulham 001B,108.0,60.0,48.0,44.44444444444444,21.0,87.0,80.55555555555556
E01001878 : Hammersmith and Fulham 001E,110.0,60.0,50.0,45.45454545454545,17.0,93.0,84.54545454545455
E01001911 : Hammersmith and Fulham 015D,111.0,58.0,53.0,47.747747747747745,22.0,89.0,80.18018018018019
E01001947 : Hammersmith and Fulham 021A,115.0,61.0,54.0,46.95652173913044,28.0,87.0,75.65217391304348
E01001957 : Hammersmith and Fulham 002B,120.0,66.0,54.0,45.0,28.0,92.0,76.66666666666667
E01001955 : Hammersmith and Fulham 002A,122.0,74.0,48.0,39.34426229508197,25.0,97.0,79.50819672131148
E01001859 : Hammersmith and Fulham 008A,131.0,69.0,62.0,47.32824427480916,31.0,100.0,76.33587786259542
E01001958 : Hammersmith and Fulham 002C,137.0,71.0,66.0,48.175182481751825,34.0,103.0,75.18248175182482
